release_year,collaboration_count,single_artist_count,collaboration_proportion,single_artist_proportion
1935,0,3,0,1
1937,0,2,0,1
1939,0,1,0,1
1942,0,1,0,1
1943,0,1,0,1
1944,0,1,0,1
1954,0,2,0,1
1958,0,1,0,1
1960,1,22,0.043478260869565216,0.9565217391304348
1961,0,6,0,1
1964,0,1,0,1
1965,2,15,0.11764705882352941,0.8823529411764706
1966,0,15,0,1
1967,0,28,0,1
1968,0,18,0,1
1969,0,21,0,1
1970,1,17,0.05555555555555555,0.9444444444444444
1971,11,12,0.4782608695652174,0.5217391304347826
1972,0,42,0,1
1973,7,19,0.2692307692307692,0.7307692307692307
1974,7,3,0.7,0.3
1975,8,31,0.20512820512820512,0.7948717948717948
1976,1,21,0.045454545454545456,0.9545454545454546
1977,5,35,0.125,0.875
1978,4,34,0.10526315789473684,0.8947368421052632
1979,0,13,0,1
1980,10,24,0.29411764705882354,0.7058823529411765
1981,1,19,0.05,0.95
1982,0,37,0,1
1983,6,35,0.14634146341463414,0.8536585365853658
1984,10,87,0.10309278350515463,0.8969072164948454
1985,10,114,0.08064516129032258,0.9193548387096774
1986,28,51,0.35443037974683544,0.6455696202531646
1987,19,97,0.16379310344827586,0.8362068965517241
1988,17,80,0.17525773195876287,0.8247422680412371
1989,35,91,0.2777777777777778,0.7222222222222222
1990,19,139,0.12025316455696203,0.879746835443038
1991,11,185,0.05612244897959184,0.9438775510204082
1992,28,146,0.16091954022988506,0.8390804597701149
1993,30,132,0.18518518518518517,0.8148148148148148
1994,53,149,0.2623762376237624,0.7376237623762376
1995,56,210,0.21052631578947367,0.7894736842105263
1996,28,198,0.12389380530973451,0.8761061946902655
1997,30,212,0.12396694214876033,0.8760330578512396
1998,37,203,0.15416666666666667,0.8458333333333333
1999,56,313,0.15176151761517614,0.8482384823848238
2000,58,286,0.1686046511627907,0.8313953488372093
2001,61,322,0.15926892950391644,0.8407310704960835
2002,49,271,0.153125,0.846875
2003,47,332,0.12401055408970976,0.8759894459102903
2004,38,318,0.10674157303370786,0.8932584269662921
2005,95,311,0.23399014778325122,0.7660098522167488
2006,88,395,0.18219461697722567,0.8178053830227743
2007,56,422,0.11715481171548117,0.8828451882845189
2008,58,450,0.1141732283464567,0.8858267716535433
2009,81,521,0.1345514950166113,0.8654485049833887
2010,131,477,0.21546052631578946,0.7845394736842105
2011,96,624,0.13333333333333333,0.8666666666666667
2012,126,460,0.2150170648464164,0.7849829351535836
2013,161,589,0.21466666666666667,0.7853333333333333
2014,293,656,0.3087460484720759,0.6912539515279241
2015,239,885,0.21263345195729538,0.7873665480427047
2016,396,773,0.33875106928999144,0.6612489307100086
2017,389,993,0.28147612156295226,0.7185238784370478
2018,530,977,0.35169210351692104,0.648307896483079
2019,625,1020,0.3799392097264438,0.6200607902735562
2020,638,1029,0.3827234553089382,0.6172765446910617
2021,746,1242,0.37525150905432597,0.6247484909456741
2022,754,1176,0.39067357512953366,0.6093264248704663
2023,512,627,0.4495171202809482,0.5504828797190519
